evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
47 km al O de Mina Collahuasi,-20.900 ,-69.104,2024-12-21,20:57:55,2024-12-21,23:57:55,108,km,3.1,Ml
31 km al SE de Sierra Gorda,-23.148 ,-69.195,2024-12-21,12:44:55,2024-12-21,15:44:55,88,km,2.9,Ml
41 km al SO de Quillagua,-21.913 ,-69.821,2024-12-21,11:54:50,2024-12-21,14:54:50,54,km,2.5,Ml
53 km al NE de Calama,-22.039 ,-68.711,2024-12-21,11:28:01,2024-12-21,14:28:01,116,km,2.9,Ml
20 km al S de Caldera,-27.247 ,-70.842,2024-12-21,10:29:44,2024-12-21,13:29:44,66,km,2.6,Ml
17 km al SO de Colchane,-19.384 ,-68.758,2024-12-21,08:40:07,2024-12-21,11:40:07,160,km,2.9,Ml
19 km al SO de OllagÃ¼e,-21.298 ,-68.422,2024-12-21,08:14:21,2024-12-21,11:14:21,128,km,2.9,Ml
47 km al E de Pica,-20.422 ,-68.882,2024-12-21,06:21:24,2024-12-21,09:21:24,113,km,2.7,Ml
111 km al O de BahÃ­a Mansa,-40.563 ,-75.049,2024-12-21,06:13:07,2024-12-21,09:13:07,29,km,4.5,Ml
56 km al N de Pica,-19.988 ,-69.323,2024-12-21,04:27:59,2024-12-21,07:27:59,87,km,2.7,Ml
13 km al S de Mina Collahuasi,-20.941 ,-68.629,2024-12-21,03:33:08,2024-12-21,06:33:08,130,km,2.5,Ml
19 km al SO de La Higuera,-29.610 ,-71.367,2024-12-21,03:32:04,2024-12-21,06:32:04,63,km,2.6,Ml
27 km al NO de Vallenar,-28.371 ,-70.904,2024-12-21,03:00:41,2024-12-21,06:00:41,52,km,2.8,Ml
56 km al NO de Puerto Cisnes,-44.349 ,-73.143,2024-12-21,01:42:34,2024-12-21,04:42:34,10,km,2.5,Ml
50 km al SO de Mina Collahuasi,-21.185 ,-68.954,2024-12-21,01:33:10,2024-12-21,04:33:10,116,km,2.5,Ml
51 km al SO de Mina Collahuasi,-21.242 ,-68.876,2024-12-20,23:18:21,2024-12-21,02:18:21,122,km,2.5,Ml
64 km al NE de Pica,-20.155 ,-68.830,2024-12-20,21:27:12,2024-12-21,00:27:12,107,km,2.6,Ml
